time,lat,lon,ele
2024-07-28T15:00:38.000Z,47.551894895732402801513671875,-3.048880733549594879150390625,0.4000000059604644775390625
2024-07-28T15:00:45.000Z,47.5520472787320613861083984375,-3.04890579544007778167724609375,0.4000000059604644775390625
2024-07-28T15:00:50.000Z,47.55218365229666233062744140625,-3.048923648893833160400390625,0.4000000059604644775390625
2024-07-28T15:00:52.000Z,47.5522273220121860504150390625,-3.04892725311219692230224609375,0.4000000059604644775390625
2024-07-28T15:00:53.000Z,47.5522554852068424224853515625,-3.0489268340170383453369140625,0.20000000298023223876953125
2024-07-28T15:01:03.000Z,47.552526891231536865234375,-3.04892934858798980712890625,0.20000000298023223876953125
2024-07-28T15:01:12.000Z,47.5527453236281871795654296875,-3.04892876185476779937744140625,0.20000000298023223876953125
2024-07-28T15:01:23.000Z,47.5530105270445346832275390625,-3.04893513210117816925048828125,0
2024-07-28T15:01:30.000Z,47.55320037715137004852294921875,-3.04893412627279758453369140625,0
2024-07-28T15:01:32.000Z,47.55326692946255207061767578125,-3.04893010295927524566650390625,0
2024-07-28T15:01:37.000Z,47.553406655788421630859375,-3.04894284345209598541259765625,0
2024-07-28T15:01:38.000Z,47.55343792028725147247314453125,-3.04894770495593547821044921875,0
2024-07-28T15:01:45.000Z,47.55364662967622280120849609375,-3.04900646209716796875,0.20000000298023223876953125
2024-07-28T15:01:51.000Z,47.5538210570812225341796875,-3.0490777082741260528564453125,0
2024-07-28T15:01:52.000Z,47.5538510642945766448974609375,-3.04909505881369113922119140625,0
2024-07-28T15:01:59.000Z,47.5540844164788722991943359375,-3.04918139241635799407958984375,0.20000000298023223876953125
2024-07-28T15:02:03.000Z,47.5542202033102512359619140625,-3.049231432378292083740234375,0.4000000059604644775390625
2024-07-28T15:02:08.000Z,47.554412819445133209228515625,-3.0493241362273693084716796875,0.20000000298023223876953125
2024-07-28T15:02:16.000Z,47.55469285883009433746337890625,-3.0494823865592479705810546875,0
2024-07-28T15:02:24.000Z,47.55496426485478878021240234375,-3.04966519586741924285888671875,0.20000000298023223876953125
2024-07-28T15:02:26.000Z,47.55504154600203037261962890625,-3.04970643483102321624755859375,0.20000000298023223876953125
2024-07-28T15:02:27.000Z,47.555075995624065399169921875,-3.0497301556169986724853515625,0.20000000298023223876953125
2024-07-28T15:02:31.000Z,47.555209100246429443359375,-3.04981472901999950408935546875,0
2024-07-28T15:02:33.000Z,47.555281184613704681396484375,-3.04987289942800998687744140625,0
2024-07-28T15:02:42.000Z,47.5555710308253765106201171875,-3.05010616779327392578125,-0.20000000298023223876953125
2024-07-28T15:02:49.000Z,47.55585090257227420806884765625,-3.05024103261530399322509765625,0
2024-07-28T15:02:57.000Z,47.5561545789241790771484375,-3.05040414445102214813232421875,-0.20000000298023223876953125
2024-07-28T15:03:05.000Z,47.55644249729812145233154296875,-3.05055350996553897857666015625,0
2024-07-28T15:03:08.000Z,47.5565406493842601776123046875,-3.0506010353565216064453125,-0.20000000298023223876953125
2024-07-28T15:03:10.000Z,47.55662153474986553192138671875,-3.050633557140827178955078125,-0.20000000298023223876953125
2024-07-28T15:03:14.000Z,47.55678799934685230255126953125,-3.05068979971110820770263671875,0
2024-07-28T15:03:23.000Z,47.55717474035918712615966796875,-3.050753585994243621826171875,0
2024-07-28T15:03:33.000Z,47.55758897401392459869384765625,-3.05075668729841709136962890625,0
